r,g,b,name,color
149,3,56,blood,color blood
230,108,100,blood1,color blood1
242,6,13,blood2,color blood2
200,6,45,blood3,color blood3
255,128,128,blood4,color blood4
217,0,0,blood5,color blood5
215,17,27,blood6,color blood6
32,5,147,blue1,color blue1
20,60,140,blue2,color blue2
0,0,198,blue2,color blue2
0,0,160,blue3,color blue3
104,209,255,blue4,color blue4
172,172,215,blue5,color blue5
142,192,255,blue5,color blue5
83,169,255,blue6,color blue6
40,49,153,blue7,color blue7
124,94,79,brown,color brown
243,151,95,brown1,color brown1
239,118,46,brown2,color brown2
240,156,138,brown3,color brown3
198,99,0,brown4,color brown4
32,255,255,cyan,color cyan
74,20,67,dark lavender,color dark lavender
0,12,230,green,color green
0,153,38,green5,color green5
0,198,0,green6,color green6
131,248,151,green7,color green7
0,208,208,green8,color green8
137,137,137,grey,color grey
145,145,145,grey1,color grey1
196,196,196,grey2,color grey2
234,234,234,grey3,color grey3
115,115,115,grey4,color grey4
34,34,34,grey5,color grey5
245,245,245,grey6,color grey6
217,217,217,grey7,color grey7
73,44,92,lavender,color lavender
196,196,255,lavender1,color lavender1
213,170,255,lavender2,color lavender2
0,0,189,lavender3,color lavender3
217,217,255,lavender4,color labender4
241,222,250,lavender5,color labender5
202,212,201,light olive,color light olive
230,206,61,light orange,color light orange
137,137,69,merky,color merky
181,181,108,merky1,color merky1
228,231,235,neutral,color neutral
217,227,142,olive,color olive
0,170,204,olive1,color olive1
223,252,124,olive2,color olive2
252,92,39,orang1,color orange1
220,164,36,orange,color orange
255,137,81,orange1,color orange
0,230,22,orange2,color orange2
255,172,89,orange2,color orange2
255,215,174,orange3,color orange3
255,177,100,orange4,color orange4
233,200,10,peach,color peach
245,124,31,peach1,color peach1
252,164,226,pink,color pink
172,44,109,pink1,color pink1
255,227,241,pink10,color pink10
245,69,213,pink2,color pink2
0,251,71,pink3,color pink3
255,98,176,pink4,color pink4
255,136,255,pink5,color pink5
238,104,232,pink6,color pink6
255,47,255,pink7,color pink7
237,39,129,pink8,color pink8
255,174,201,pink9,color pink9
123,87,249,purple,color purple
171,119,249,purple2,color purple2
186,24,226,purple3,color purple3
191,122,199,purple4,color purple4
230,65,127,ruby,color ruby
240,136,175,ruby1,color ruby1
148,229,219,sky,color sky1
4,165,228,sky1,color sky1
113,244,251,sky2,color sky2
255,241,187,sun,color sun
239,228,176,sun1,color sun1
234,220,153,sun2,color sun2
244,237,204,sun3,color sun3
241,200,137,sun4,color sun4
249,228,198,sun5,color sun5
255,223,191,sun6,color sun6
255,234,213,sun7,color sun7
255,206,183,sun8,color sun8
255,242,219,sun9,color sun9
228,228,228,white1,color white1
249,255,252,white2,color white2
239,239,239,white3,color white3
252,244,67,yellow,color yellow
251,243,137,yellow1,color yellow1
255,255,85,yellow2,color yello2
245,251,36,yellow3,color yellow3
255,201,14,yellow4,color yellow4
253,253,0,yellow5,color yellow5
248,253,23,yellow6,color yellow6
161,102,94,skin4,color skin4
80,51,53,skin5,color skin5
89,47,42,skin6,color skin6
209,163,164,skin3,color skin3
61,211,233,river,color river
106,222,238,river1,color river1
